architecture,activation,learning_rate,dropout,batch_size,weight_decay,neurons_1,neurons_2,val_rmse,val_r2,neurons_3,neurons_4
three_layer,relu,0.0001,0.3,32,0.001,64,64,0.8608461022377014,0.5045114159584045,16.0,
four_layer,tanh,0.0001,0.3,64,0.0001,128,64,0.8612402677536011,0.5040575265884399,32.0,16.0
three_layer,relu,0.0001,0.3,64,1e-05,128,32,0.8617789149284363,0.5034370422363281,16.0,
four_layer,tanh,0.0001,0.1,32,0.0001,64,32,0.863709032535553,0.5012102127075195,32.0,16.0
three_layer,tanh,0.0001,0.1,64,0.001,128,32,0.8647780418395996,0.49997472763061523,16.0,
four_layer,tanh,0.0001,0.1,64,0.0001,128,64,0.8662305474281311,0.4982936382293701,32.0,16.0
four_layer,relu,0.0001,0.3,32,0.001,128,32,0.8665438890457153,0.4979305863380432,16.0,16.0
four_layer,tanh,0.0001,0.3,64,1e-05,64,64,0.867926299571991,0.49632740020751953,32.0,16.0
four_layer,relu,0.0001,0.1,64,0.001,64,64,0.8699254393577576,0.49400442838668823,16.0,16.0
three_layer,relu,0.0001,0.3,32,0.0001,64,32,0.8742610216140747,0.4889482259750366,16.0,
four_layer,relu,0.0001,0.1,32,1e-05,64,32,0.8743120431900024,0.48888862133026123,16.0,16.0
three_layer,tanh,0.0001,0.3,64,0.0001,64,32,0.8744210004806519,0.4887612462043762,16.0,
three_layer,tanh,0.0001,0.3,64,1e-05,64,32,0.8748359680175781,0.4882758855819702,16.0,
four_layer,relu,0.0001,0.1,64,0.0001,128,32,0.8759750723838806,0.4869424104690552,16.0,16.0
four_layer,relu,0.0005,0.3,64,0.0001,64,32,0.8771716356277466,0.4855397939682007,32.0,16.0
four_layer,relu,0.0001,0.3,32,0.0001,128,64,0.8782539367675781,0.4842694401741028,32.0,16.0
four_layer,relu,0.0005,0.3,64,1e-05,64,64,0.8799564838409424,0.48226797580718994,32.0,16.0
four_layer,tanh,0.0001,0.3,64,0.001,128,32,0.8812875747680664,0.48070043325424194,16.0,16.0
four_layer,relu,0.0001,0.1,64,1e-05,64,64,0.8844351768493652,0.4769843816757202,32.0,16.0
four_layer,relu,0.0001,0.1,64,1e-05,128,32,0.8852753043174744,0.47599029541015625,16.0,16.0
four_layer,relu,0.0001,0.1,64,1e-05,64,32,0.8859817385673523,0.47515368461608887,32.0,16.0
four_layer,relu,0.0001,0.3,32,0.001,64,32,0.8865958452224731,0.4744257926940918,32.0,16.0
three_layer,relu,0.0001,0.3,64,1e-05,64,32,0.8929236531257629,0.46689683198928833,16.0,
